"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CRI","INCOMEINEQ","S80S20","RT","A","2019",12.7,
"CRI","INCOMEINEQ","S80S20","RT","A","2020",14.5,
"RUS","INCOMEINEQ","S80S20","RT","A","2016",5.5,
"RUS","INCOMEINEQ","S80S20","RT","A","2017",5.1,
"BGR","INCOMEINEQ","S80S20","RT","A","2016",8.3,
"BGR","INCOMEINEQ","S80S20","RT","A","2017",7.7,
"BGR","INCOMEINEQ","S80S20","RT","A","2018",8.1,
"ROU","INCOMEINEQ","S80S20","RT","A","2016",6.5,
"ROU","INCOMEINEQ","S80S20","RT","A","2017",7.2,
"ROU","INCOMEINEQ","S80S20","RT","A","2018",7.1,
